,Actual,Predicted,Dates
0,19.0,21.072926,2011-01-02 03:00:00
1,18.0,20.950968,2011-01-02 04:00:00
2,17.0,19.345297,2011-01-02 05:00:00
3,14.0,18.406498,2011-01-02 06:00:00
4,14.0,16.994349,2011-01-02 07:00:00
5,22.0,15.785511,2011-01-02 08:00:00
6,22.0,23.341587,2011-01-02 09:00:00
7,25.0,22.135988,2011-01-02 10:00:00
8,24.0,24.085966,2011-01-02 11:00:00
9,31.0,23.704844,2011-01-02 12:00:00
10,37.0,30.836306,2011-01-02 13:00:00
11,35.0,41.421806,2011-01-02 14:00:00
12,32.0,38.20315,2011-01-02 15:00:00
13,37.0,37.26247,2011-01-02 16:00:00
14,40.0,42.784744,2011-01-02 17:00:00
15,52.0,46.053013,2011-01-02 18:00:00
16,63.0,57.404728,2011-01-02 19:00:00
17,72.0,70.10949,2011-01-02 20:00:00
18,76.0,75.317795,2011-01-02 21:00:00
19,76.0,79.69,2011-01-02 22:00:00
20,67.0,78.673935,2011-01-02 23:00:00
21,65.0,68.56766,2011-01-03 00:00:00
22,78.0,67.52424,2011-01-03 01:00:00
23,85.0,77.67146,2011-01-03 02:00:00
24,143.0,81.87695,2011-01-03 03:00:00
25,181.0,139.51204,2011-01-03 04:00:00
26,188.0,181.54903,2011-01-03 05:00:00
27,167.0,187.53456,2011-01-03 06:00:00
28,173.0,161.5788,2011-01-03 07:00:00
29,155.0,169.01234,2011-01-03 08:00:00
30,124.0,147.65901,2011-01-03 09:00:00
31,105.0,116.874374,2011-01-03 10:00:00
32,87.0,102.7123,2011-01-03 11:00:00
33,93.0,81.96236,2011-01-03 12:00:00
34,134.0,95.21741,2011-01-03 13:00:00
35,164.0,139.6841,2011-01-03 14:00:00
36,180.0,168.31435,2011-01-03 15:00:00
37,184.0,181.1529,2011-01-03 16:00:00
38,175.0,185.77489,2011-01-03 17:00:00
39,188.0,174.60406,2011-01-03 18:00:00
40,255.0,188.8086,2011-01-03 19:00:00
41,286.0,252.08815,2011-01-03 20:00:00
42,225.0,276.27936,2011-01-03 21:00:00
43,234.0,217.50818,2011-01-03 22:00:00
44,226.0,230.34346,2011-01-03 23:00:00
45,233.0,221.2689,2011-01-04 00:00:00
46,275.0,228.1727,2011-01-04 01:00:00
47,153.0,277.19754,2011-01-04 02:00:00
48,121.0,135.52234,2011-01-04 03:00:00
49,77.0,112.18907,2011-01-04 04:00:00
50,64.0,72.59036,2011-01-04 05:00:00
51,67.0,61.435184,2011-01-04 06:00:00
52,67.0,65.763985,2011-01-04 07:00:00
53,59.0,71.43715,2011-01-04 08:00:00
54,74.0,57.47053,2011-01-04 09:00:00
55,89.0,74.45209,2011-01-04 10:00:00
56,96.0,92.0368,2011-01-04 11:00:00
57,96.0,96.26618,2011-01-04 12:00:00
58,85.0,98.011986,2011-01-04 13:00:00
59,84.0,86.509834,2011-01-04 14:00:00
60,90.0,84.857414,2011-01-04 15:00:00
61,61.0,89.13019,2011-01-04 16:00:00
62,65.0,57.226223,2011-01-04 17:00:00
63,73.0,63.597534,2011-01-04 18:00:00
64,68.0,72.617966,2011-01-04 19:00:00
65,58.0,65.60087,2011-01-04 20:00:00
66,53.0,56.300777,2011-01-04 21:00:00
67,46.0,51.554974,2011-01-04 22:00:00
