,Actual,Predicted,,,,,,,,,,,,,,,,
0,19,20.77269,,,,8788,2011,1,2,3,19,-18,-8,1037,NW,4.02,0,0
1,18,20.818659,,,,8789,2011,1,2,4,18,-18,-8,1037,NE,4.02,0,0
2,17,18.984743,,,,8790,2011,1,2,5,17,-18,-7,1037,NE,8.04,0,0
3,14,18.349676,,,,8791,2011,1,2,6,14,-18,-8,1036,NW,4.92,0,0
4,14,17.032091,,,,8792,2011,1,2,7,14,-18,-8,1037,NE,4.02,0,0
5,22,15.28238,,,,8793,2011,1,2,8,22,-18,-7,1037,NE,8.94,0,0
6,22,23.432617,,,,8794,2011,1,2,9,22,-18,-6,1038,NE,12.96,0,0
7,25,22.352123,,,,8795,2011,1,2,10,25,-18,-4,1038,NE,16.98,0,0
8,24,24.739971,,,,8796,2011,1,2,11,24,-17,-3,1037,NE,21,0,0
9,31,24.936907,,,,8797,2011,1,2,12,31,-17,-3,1036,NE,24.13,0,0
10,37,32.48198,,,,8798,2011,1,2,13,37,-17,-1,1035,cv,1.79,0,0
11,35,42.685417,,,,8799,2011,1,2,14,35,-17,-1,1034,cv,2.68,0,0
12,32,37.57895,,,,8800,2011,1,2,15,32,-17,-1,1033,cv,3.57,0,0
13,37,35.14046,,,,8801,2011,1,2,16,37,-17,-1,1033,cv,4.46,0,0
14,40,40.684772,,,,8802,2011,1,2,17,40,-17,-2,1033,cv,5.35,0,0
15,52,43.97128,,,,8803,2011,1,2,18,52,-17,-3,1033,SE,1.79,0,0
16,63,55.575233,,,,8804,2011,1,2,19,63,-16,-5,1033,cv,0.89,0,0
17,72,69.19047,,,,8805,2011,1,2,20,72,-15,-5,1033,SE,0.89,0,0
18,76,74.18489,,,,8806,2011,1,2,21,76,-15,-5,1033,cv,0.89,0,0
19,76,78.6875,,,,8807,2011,1,2,22,76,-15,-6,1033,cv,1.78,0,0
20,67,77.75345,,,,8808,2011,1,2,23,67,-15,-6,1034,cv,2.67,0,0
21,65,66.74476,,,,8809,2011,1,3,0,65,-15,-7,1033,NE,0.89,0,0
22,78,65.98266,,,,8810,2011,1,3,1,78,-15,-6,1033,NE,1.78,0,0
23,85,78.01588,,,,8811,2011,1,3,2,85,-15,-7,1033,NE,2.67,0,0
24,143,83.141754,,,,8812,2011,1,3,3,143,-15,-8,1032,NE,3.56,0,0
25,181,141.50232,,,,8813,2011,1,3,4,181,-15,-8,1032,SE,0.89,0,0
26,188,183.13557,,,,8814,2011,1,3,5,188,-15,-8,1032,cv,0.89,0,0
27,167,188.63753,,,,8815,2011,1,3,6,167,-15,-9,1032,NE,0.89,0,0
28,173,160.2812,,,,8816,2011,1,3,7,173,-15,-9,1032,NW,0.89,0,0
29,155,168.48444,,,,8817,2011,1,3,8,155,-15,-9,1032,NW,2.68,0,0
30,124,147.909,,,,8818,2011,1,3,9,124,-13,-8,1033,NE,0.89,0,0
31,105,115.9796,,,,8819,2011,1,3,10,105,-14,-6,1033,cv,0.89,0,0
32,87,102.686264,,,,8820,2011,1,3,11,87,-13,-4,1032,SE,0.89,0,0
