,Actual,Predicted,Dates
0,1617.21,1682.1185,14/1/19
1,1674.56,1679.3163,15/1/19
2,1683.78,1706.1956,16/1/19
3,1693.22,1727.3933,17/1/19
4,1696.2,1757.4978,18/1/19
5,1632.17,1754.4132,22/1/19
6,1640.02,1724.2897,23/1/19
7,1654.93,1691.0914,24/1/19
8,1670.57,1674.6926,25/1/19
9,1637.89,1695.9845,28/1/19
10,1593.88,1703.9746,29/1/19
11,1670.43,1689.8424,30/1/19
12,1718.73,1696.9944,31/1/19
13,1626.23,1732.5404,1/2/19
14,1633.31,1756.6204,4/2/19
15,1658.81,1768.4235,5/2/19
16,1640.26,1776.2527,6/2/19
17,1614.37,1787.0643,7/2/19
18,1588.22,1771.242,8/2/19
19,1591.0,1747.8859,11/2/19
20,1638.01,1732.0002,12/2/19
21,1640.0,1748.5421,13/2/19
22,1622.65,1761.4589,14/2/19
23,1607.95,1776.4828,15/2/19
24,1627.58,1767.7472,19/2/19
25,1622.1,1770.9434,20/2/19
26,1619.44,1770.422,21/2/19
27,1631.56,1768.042,22/2/19
28,1633.0,1769.7201,25/2/19
29,1636.4,1776.753,26/2/19
30,1641.09,1787.4689,27/2/19
31,1639.83,1789.3188,28/2/19
32,1671.73,1785.6968,1/3/19
33,1696.17,1789.9852,4/3/19
34,1692.43,1798.4327,5/3/19
35,1668.95,1814.2859,6/3/19
36,1625.95,1821.062,7/3/19
37,1620.8,1807.6096,8/3/19
38,1670.62,1788.9619,11/3/19
39,1673.1,1794.6038,12/3/19
40,1690.81,1813.0039,13/3/19
41,1686.22,1838.9128,14/3/19
42,1712.36,1841.9161,15/3/19
43,1742.15,1847.9591,18/3/19
44,1761.85,1852.8214,19/3/19
45,1797.27,1864.4303,20/3/19
46,1819.26,1894.785,21/3/19
47,1764.77,1927.1362,22/3/19
48,1774.26,1926.9904,25/3/19
49,1783.76,1913.6239,26/3/19
50,1765.7,1892.6906,27/3/19
51,1773.42,1883.0208,28/3/19
52,1780.75,1872.1848,29/3/19
53,1814.19,1869.7654,1/4/19
54,1813.98,1891.8966,2/4/19
55,1820.7,1916.145,3/4/19
56,1818.86,1936.8174,4/4/19
57,1837.28,1943.4391,5/4/19
58,1849.86,1946.953,8/4/19
59,1835.84,1946.3982,9/4/19
60,1847.33,1947.3196,10/4/19
61,1844.07,1949.264,11/4/19
62,1843.06,1952.9447,12/4/19
63,1844.87,1947.423,15/4/19
64,1863.04,1939.3411,16/4/19
65,1864.82,1941.2438,17/4/19
66,1861.69,1950.1447,18/4/19
67,1887.31,1962.0416,22/4/19
68,1923.77,1984.3518,23/4/19
69,1901.75,2019.2296,24/4/19
70,1902.25,2036.4314,25/4/19
71,1950.63,2039.7677,26/4/19
72,1938.43,2043.436,29/4/19
73,1926.52,2056.037,30/4/19
74,1911.52,2050.3755,1/5/19
75,1900.82,2035.638,2/5/19
76,1962.46,2020.8203,3/5/19
77,1950.55,2039.0208,6/5/19
78,1921.0,2047.3263,7/5/19
79,1917.77,2040.5948,8/5/19
80,1899.87,2014.3362,9/5/19
81,1889.98,1991.0946,10/5/19
82,1822.68,1977.2104,13/5/19
83,1840.12,1935.5393,14/5/19
84,1871.15,1904.5773,15/5/19
85,1907.57,1902.9552,16/5/19
86,1869.0,1935.0923,17/5/19
87,1858.97,1948.9131,20/5/19
88,1857.52,1933.8627,21/5/19
89,1859.68,1919.9244,22/5/19
90,1815.48,1921.188,23/5/19
91,1823.28,1912.3096,24/5/19
92,1836.43,1902.0289,28/5/19
93,1819.19,1894.9225,29/5/19
94,1816.32,1889.6178,30/5/19
95,1775.07,1885.5924,31/5/19
96,1692.69,1859.9034,3/6/19
97,1729.56,1809.0651,4/6/19
98,1738.5,1787.2535,5/6/19
99,1754.36,1784.3743,6/6/19
100,1804.03,1809.3639,7/6/19
101,0.0,1833.3851,8/6/19
