date,Close,Open,High,Low,Adj Close,Volume
5/6/00,54.5,55.0312,56.25,52.5,54.5,6813200
6/6/00,50.5625,54,54.5625,50.25,50.5625,4853100
7/6/00,51.8125,51.875,52.1875,50.125,51.8125,3841200
8/6/00,51.875,52.5625,53.4375,51.625,51.875,3040300
9/6/00,52.1875,51.9375,53.25,51.875,52.1875,1922300
12/6/00,48.4375,52.1875,52.1875,47,48.4375,3986000
13/6/00,49,48.1875,49.5,46.25,49,4788500
14/6/00,46.4375,49.3125,49.875,46,46.4375,5020500
15/6/00,46.3125,47,47.9375,45.3125,46.3125,3554700
16/6/00,46,47.25,47.4375,45.375,46,3070900
19/6/00,45.3125,45.5,45.875,43.5,45.3125,5151500
20/6/00,46.125,45.875,48.625,45.125,46.125,6199100
21/6/00,46.0625,45.4375,46.9375,45.0625,46.0625,3573300
22/6/00,42,46.1875,46.4375,41.625,42,10516100
23/6/00,33.875,36.625,37,32.4687,33.875,51838200
26/6/00,33.9375,35.3125,35.328098,32.8125,33.9375,21076400
27/6/00,36.5,33.75,38.5,33.5,36.5,17638200
28/6/00,37.875,36.875,39.9375,36.125,37.875,14874300
29/6/00,37.125,37.125,38.5,36.125,37.125,8986500
30/6/00,36.3125,37,37.25,35.5,36.3125,6451900
3/7/00,37,36.6875,37.5,36.5,37,1762400
5/7/00,36.5,37,38.5,36.375,36.5,4213600
6/7/00,36.0625,36.875,37.375,34.75,36.0625,6767100
7/7/00,36.125,36.125,37,35.25,36.125,3870600
10/7/00,35.0625,36.375,36.375,35,35.0625,4240600
11/7/00,33.125,35.1875,35.25,32.625,33.125,9896500
12/7/00,35.0625,35.4375,36.125,34.25,35.0625,11265900
13/7/00,35,35.625,36,34.875,35,8597500
14/7/00,42.625,36.375,43.203098,36.3125,42.625,22436100
17/7/00,41.125,42.875,43.9375,40.25,41.125,6530000
18/7/00,41.75,40.125,43.625,39.5,41.75,7958400
19/7/00,40.875,41.5,41.5625,39,40.875,4743700
20/7/00,40.3125,40.9375,43.375,39.5,40.3125,6945700
21/7/00,41.125,40.4375,42.5,40.4375,41.125,4712900
24/7/00,38.75,41.0625,41.375,38.0625,38.75,5778200
25/7/00,37.625,36.75,38.75,33.25,37.625,27752500
26/7/00,36.0625,35.0625,36.7187,34.0625,36.0625,15547800
27/7/00,31.375,31.4375,32,29.75,31.375,23579300
28/7/00,30,31.4375,32.125,29,30,12447000
31/7/00,30.125,30.0625,30.25,27.875,30.125,9478800
1/8/00,30.25,30.625,32.25,30.25,30.25,8156400
2/8/00,30.8125,30.25,32,30.2187,30.8125,4952900
3/8/00,31.5,29.4375,31.75,29.3125,31.5,5144100
4/8/00,32.5,31.9375,34.1875,31.5,32.5,4871100
7/8/00,33.8125,32,34.25,31.625,33.8125,4403100
8/8/00,32.9375,33.25,33.375,32.4375,32.9375,5050600
9/8/00,30.875,32.375,32.375,30.375,30.875,8874400
10/8/00,30.4375,31.5,31.75,29.75,30.4375,6073000
11/8/00,33.6875,30.5,34,30.3125,33.6875,9116200
14/8/00,34.875,33.5,35.1875,32.6875,34.875,6217200
15/8/00,37.5625,34.625,38.3125,34.375,37.5625,8497200
16/8/00,38.625,37.5625,39.875,37.5312,38.625,9833200
17/8/00,38.25,38,39.0625,36.875,38.25,4974100
18/8/00,39,39.25,40.125,38.9375,39,7371100
21/8/00,37.5,39.0937,39.875,36.5,37.5,4037500
22/8/00,36.5,38.125,38.1875,36.0625,36.5,3508200
23/8/00,38.8125,36.375,39.5,35,38.8125,4721300
24/8/00,39.375,39.5625,40.5,38.8125,39.375,4719000
25/8/00,39.9375,39.125,40.0625,38.5625,39.9375,2708600
28/8/00,39.125,38.8125,42.5,38.5625,39.125,9178500
29/8/00,39.625,39.5,40.875,38.875,39.625,4521100
30/8/00,42.9375,42.375,43.9687,42,42.9375,12919600
31/8/00,41.5,43.125,43.1875,41.4375,41.5,4616300
1/9/00,41.5,42.125,42.5,41,41.5,3347100
5/9/00,45.6875,40.9375,46.3125,40.25,45.6875,10168200
6/9/00,45.875,47.25,49.625,45.6875,45.875,14263200
7/9/00,43.5,46.8125,47,43,43.5,7406200
8/9/00,42.9375,44.0625,45,42.5,42.9375,5088900
11/9/00,42.375,42.625,45.2187,42.1875,42.375,5447100
