Date,amazon,facebook,apple,netflix,google,s_p
18/5/12,213.850006,38.23,75.76857,9.994286,300.500488,129.740005
21/5/12,218.110001,34.029999,80.182854,10.248571,307.362366,131.970001
22/5/12,215.330002,31,79.567146,9.672857,300.700714,132.199997
23/5/12,217.279999,32,81.508568,10.272857,305.035034,132.270004
24/5/12,215.240005,33.029999,80.760002,10.038571,302.132141,132.529999
25/5/12,212.889999,31.91,80.327141,10.031428,296.061066,132.100006
29/5/12,214.75,28.84,81.752853,9.92,297.467468,133.699997
30/5/12,209.229996,28.190001,82.738571,9.62,294.409424,131.759995
31/5/12,212.910004,29.6,82.53286,9.062857,290.720734,131.470001
1/6/12,208.220001,27.719999,80.141426,8.992857,285.775787,128.160004
4/6/12,214.570007,26.9,80.612854,9.285714,289.584595,128.100006
5/6/12,213.210007,25.870001,80.404289,9.261429,285.490479,129.070007
6/6/12,217.639999,26.809999,81.637146,9.411428,290.575562,131.970001
7/6/12,218.800003,26.309999,81.674286,9.234285,289.404419,132.050003
8/6/12,218.479996,27.1,82.902855,9.377143,290.515503,133.100006
11/6/12,216.5,27.01,81.595711,9,284.534546,131.410004
12/6/12,216.419998,27.4,82.308571,9.002857,282.832825,132.919998
13/6/12,214.729996,27.27,81.737144,8.975715,280.825836,132.070007
14/6/12,214.449997,28.290001,81.647141,8.951428,279.80481,133.470001
15/6/12,218.350006,30.01,82.01857,9.398571,282.537537,134.139999
18/6/12,222.660004,31.41,83.682854,9.532857,285.710724,134.399994
19/6/12,224.029999,31.91,83.915718,9.975715,291.056061,135.699997
20/6/12,223.020004,31.6,83.677139,9.737143,289.044037,135.479996
21/6/12,220.570007,31.84,82.524284,9.405714,282.887878,132.440002
22/6/12,222.160004,33.049999,83.157143,9.694285,286.026031,133.460007
25/6/12,220.070007,32.060001,81.538574,9.575714,280.630646,131.320007
26/6/12,225.610001,33.099998,81.718575,9.542857,282.62262,131.979996
27/6/12,225.619995,32.23,82.071426,9.498571,284.934937,133.169998
28/6/12,221.309998,31.360001,81.292854,9.622857,282.437439,132.789993
29/6/12,228.350006,31.1,83.428574,9.784286,290.325317,136.100006
2/7/12,229.320007,30.77,84.645714,9.692857,290.525513,136.509995
3/7/12,229.529999,31.200001,85.629997,10.291429,294.209198,137.410004
5/7/12,227.059998,31.469999,87.134285,11.674286,298.25827,136.789993
6/7/12,225.050003,31.73,86.554283,11.698571,293.283295,135.490005
9/7/12,225.050003,32.169998,87.69857,11.855714,293.298309,135.320007
10/7/12,219.5,31.469999,86.887146,11.461429,291.141144,134.139999
11/7/12,218.369995,30.969999,86.347145,11.662857,285.88089,134.160004
12/7/12,215.360001,30.809999,85.557144,12.138572,285.525513,133.509995
13/7/12,218.389999,30.719999,86.424286,12.128572,288.548553,135.75
16/7/12,216.009995,28.25,86.701431,11.854285,287.747742,135.429993
17/7/12,216.929993,28.09,86.705711,11.682858,288.653656,136.360001
18/7/12,217.470001,29.110001,86.608574,11.61,290.670685,137.369995
19/7/12,226.169998,29,87.760002,11.874286,296.826813,137.729996
20/7/12,228.289993,28.76,86.328575,11.688571,305.715729,136.470001
23/7/12,226.009995,28.75,86.261429,11.42,308.063049,135.089996
24/7/12,223.039993,28.450001,85.845711,11.484285,304.089081,133.929993
25/7/12,217.050003,29.34,82.138573,8.611428,304.299286,133.960007
26/7/12,220.009995,26.85,82.125717,8.144286,306.987,136.169998
27/7/12,237.320007,23.709999,83.594284,8.417143,317.797791,138.679993
30/7/12,236.089996,23.15,85.004288,8.25,316.466461,138.679993
31/7/12,233.300003,21.709999,87.251427,8.121428,316.801788,137.710007
1/8/12,232.089996,20.879999,86.687141,7.785714,316.656647,137.589996
2/8/12,230.809998,20.040001,86.827141,7.695714,314.689697,136.639999
3/8/12,234.970001,21.09,87.957146,7.701428,320.985992,139.350006
6/8/12,233.990005,21.92,88.935715,8.112857,321.73172,139.619995
7/8/12,236.559998,20.719999,88.701431,8.271428,320.590576,140.320007
8/8/12,234.380005,20.719999,88.55143,8.257143,321.436432,140.490005
9/8/12,234.059998,21.01,88.675713,8.272857,321.49649,140.610001
10/8/12,232.75,21.809999,88.814285,8.557143,321.32132,140.839996
13/8/12,232.440002,21.6,90,8.558572,330.335327,140.770004
14/8/12,233.190002,20.379999,90.241432,8.822857,334.664673,140.789993
15/8/12,237.419998,21.200001,90.118568,9.037143,334.104095,140.949997
16/8/12,241.550003,19.870001,90.905716,9.187143,336.771759,141.990005
17/8/12,241.169998,19.049999,92.587143,9.098572,338.908905,142.179993
20/8/12,240.350006,20.01,95.021431,9.177143,338.108093,142.190002
21/8/12,239.449997,19.16,93.722855,9.371428,335.090088,141.759995
22/8/12,243.100006,19.440001,95.552856,9.342857,338.928925,141.820007
23/8/12,241.199997,19.440001,94.66143,9.15,338.738739,140.660004
24/8/12,245.740005,19.41,94.745712,9.022857,339.654663,141.509995
27/8/12,243.919998,19.15,96.525711,8.912857,334.944946,141.539993
28/8/12,246.110001,19.34,96.400002,8.992857,338.963959,141.399994
29/8/12,247.119995,19.1,96.209999,9.062857,344.349335,141.509995
30/8/12,246.220001,19.09,94.83857,8.64,341.181183,140.490005
31/8/12,248.270004,18.059999,95.034286,8.531428,342.887878,141.160004
4/9/12,247.880005,17.73,96.424286,7.99,340.86087,141.029999
5/9/12,246.220001,18.58,95.747147,7.851429,340.700714,140.910004
6/9/12,251.380005,18.959999,96.610001,8.092857,350.050049,143.770004
7/9/12,259.140015,18.98,97.205711,8.094286,353.428436,144.330002
10/9/12,257.089996,18.809999,94.677139,7.988572,350.735748,143.509995
11/9/12,255.669998,19.43,94.370003,8.165714,346.441437,143.910004
12/9/12,255.630005,20.93,95.684288,8.172857,345.785797,144.389999
13/9/12,260.23999,20.709999,97.568573,8.285714,353.373383,146.589996
14/9/12,261.269989,22,98.754288,8.645715,355.19519,147.240005
17/9/12,258,21.52,99.968575,8.145715,355.345337,146.740005
18/9/12,258.75,21.870001,100.272858,8.008572,359.499512,146.619995
19/9/12,261.679993,23.290001,100.300003,8.148571,364.114105,146.699997
20/9/12,260.809998,22.59,99.814285,8.391429,364.424438,146.710007
21/9/12,257.470001,22.860001,100.012856,8.255714,367.362366,145.869995
24/9/12,254.800003,20.790001,98.684288,8.055715,375.065063,145.649994
25/9/12,252.460007,20.280001,96.220001,7.685714,374.954956,144.100006
26/9/12,249.669998,20.620001,95.025711,7.875714,377.107117,143.289993
27/9/12,256.589996,20.32,97.331429,7.935714,378.628632,144.639999
28/9/12,254.320007,21.66,95.300003,7.777143,377.627625,143.970001
1/10/12,252.009995,21.99,94.19857,8.007143,381.271271,144.350006
2/10/12,250.600006,22.27,94.472855,8.065714,378.873871,144.5
3/10/12,255.919998,21.83,95.921425,8.94,381.631622,145.089996
4/10/12,260.470001,21.950001,95.257141,9.524285,384.409424,146.130005
5/10/12,258.51001,20.91,93.227142,9.508572,384.209198,146.139999
8/10/12,259.059998,20.4,91.167145,10.502857,379.299286,145.639999
9/10/12,250.960007,20.23,90.835716,9.361428,372.417419,144.199997
10/10/12,244.990005,19.639999,91.558571,9.357142,372.652649,143.279999
11/10/12,244.220001,19.75,89.728569,9.425714,376.116119,143.360001
12/10/12,242.360001,19.52,89.958572,9.19,372.747742,142.889999
15/10/12,244.179993,19.52,90.68,9.251429,370.86087,144.080002
16/10/12,243.940002,19.48,92.827141,9.435715,372.722717,145.539993
17/10/12,247.490005,19.879999,92.087143,9.788571,378.123108,146.199997
18/10/12,244.850006,18.98,90.377144,9.622857,347.847839,145.820007
19/10/12,240,19,87.120003,9.282857,341.236237,143.389999
22/10/12,233.779999,19.32,90.575714,9.697143,339.674683,143.410004
23/10/12,234.309998,19.5,87.622856,9.745714,340.515503,141.419998
24/10/12,228.490005,23.23,88.118568,8.588572,338.988983,141.020004
25/10/12,222.919998,22.559999,87.077141,8.787143,339.219208,141.429993
26/10/12,238.240005,21.940001,86.285713,9.94,337.912903,141.350006
31/10/12,232.889999,21.110001,85.045715,11.32,340.490479,141.350006
1/11/12,232.139999,21.209999,85.220001,11.098572,344.13913,142.830002
2/11/12,232.419998,21.18,82.400002,10.985714,344.304291,141.559998
5/11/12,234.330002,21.25,83.517143,11.177143,341.821808,141.850006
6/11/12,237.559998,21.17,83.264282,10.91,341.201202,142.960007
7/11/12,232.059998,20.469999,79.714287,11.097143,333.89389,139.720001
8/11/12,227.350006,19.99,76.821426,10.852858,326.471466,138.039993
9/11/12,226.309998,19.209999,78.151428,11.128572,331.846832,138.160004
12/11/12,226.470001,20.07,77.547142,11.17,333.283295,138.270004
13/11/12,226.600006,19.860001,77.557144,11.372857,329.854858,137.789993
14/11/12,222.949997,22.360001,76.697144,11.397142,326.601593,135.929993
15/11/12,220.600006,22.17,75.08857,11.64,323.953949,135.699997
16/11/12,225.229996,23.559999,75.382858,11.557143,323.91391,136.369995
19/11/12,229.710007,22.92,80.818573,11.622857,334.439453,139.130005
20/11/12,233.779999,23.1,80.129997,11.771428,335.320313,139.190002
21/11/12,238.029999,24.32,80.242859,11.857142,333.26828,139.449997
23/11/12,239.880005,24,81.64286,11.85,334.319305,141.350006
26/11/12,243.619995,25.940001,84.218575,11.722857,330.905914,141.050003
27/11/12,243.399994,26.15,83.540001,11.868571,335.690704,140.330002
28/11/12,247.110001,26.360001,83.277145,11.747143,342.177185,141.460007
29/11/12,251.270004,27.32,84.194283,11.625714,346.29129,142.119995
30/11/12,252.050003,28,83.611427,11.672857,349.534546,142.149994
3/12/12,250.330002,27.040001,83.741432,10.857142,347.972961,141.449997
4/12/12,252.490005,27.459999,82.264282,12.378572,345.86087,141.25
5/12/12,253.960007,27.709999,76.970001,11.91,344.254242,141.5
6/12/12,253.369995,26.969999,78.177139,12.31,345.910919,141.979996
7/12/12,253.270004,27.49,76.178574,12.282857,342.447449,142.410004
10/12/12,247.770004,27.84,75.688568,12.114285,343.05304,142.470001
11/12/12,250.690002,27.98,77.341431,12.297143,348.788788,143.440002
12/12/12,251.759995,27.58,77,12.961429,349.12912,143.509995
13/12/12,251.25,28.24,75.669998,13.222857,351.701691,142.630005
14/12/12,249.190002,26.809999,72.827141,13.328571,351.331329,142.100006
17/12/12,253.860001,26.75,74.118568,13.528571,360.750763,143.770004
18/12/12,260.399994,27.709999,76.271431,13.662857,360.895905,145.369995
19/12/12,257.98999,27.41,75.187141,13.425714,360.415405,144.289993
20/12/12,261.5,27.360001,74.53286,13.357142,361.541534,145.119995
21/12/12,256.920013,26.26,74.190002,13.048572,358.173187,142.789993
24/12/12,258.619995,26.93,74.309998,12.89,355.105103,142.350006
26/12/12,248.630005,26.51,73.285713,12.95,354.789795,141.75
27/12/12,248.309998,26.049999,73.580002,12.928572,353.498505,141.559998
28/12/12,245.179993,25.91,72.798569,12.761429,350.355347,140.029999
31/12/12,250.869995,26.620001,76.024284,13.227143,354.044037,142.410004
2/1/13,257.309998,28,78.432854,13.144286,361.987,146.059998
3/1/13,258.480011,27.77,77.442856,13.798572,362.197205,145.729996
4/1/13,259.149994,28.76,75.285713,13.711429,369.35434,146.369995
7/1/13,268.459991,29.42,74.842857,14.171429,367.742737,145.970001
8/1/13,266.380005,29.059999,75.044289,13.88,367.017029,145.550003
