Name,AMAZON.COM,AMAZON.COM - TARGET PRICE MEAN,AMAZON.COM - TURNOVER BY VOLUME,AMAZON.COM - TARGET PRICE MEAN2,AMAZON.COM - TURNOVER BY VOLUME3,bid ask,AMAZON.COM - NO. TARGET PRICE
26/10/07,90,0.003713741,-0.090909091,89.667,8830.4,-0.000222272,15
29/10/07,90.1,0.004828978,-0.08989899,89.667,7097.2,-0.001444124,15
30/10/07,88.24,-0.015914439,-0.108686869,89.667,5408.4,-0.001134559,15
31/10/07,89.15,-0.005765778,-0.099494949,89.667,7049.4,-0.000785811,15
1/11/07,87.65,-0.02249434,-0.114646465,89.667,8268.4,-0.000684541,15
2/11/07,85.98,-0.041118806,-0.131515152,89.667,10231,-0.001047852,15
5/11/07,84.37,-0.05907413,-0.147777778,89.667,7458.6,-0.000237023,15
6/11/07,87.27,-0.026732243,-0.118484848,89.667,7934.7,-0.0009168,15
7/11/07,87.0438,-0.02925491,-0.120769697,89.667,8402.1,-0.00011489,15
8/11/07,83.58,-0.067884506,-0.155757576,89.667,11804,-0.000838323,15
9/11/07,78.89,-0.120189144,-0.203131313,89.667,11621.3,-0.001395231,15
12/11/07,77,-0.141267133,-0.222222222,89.667,9400.8,-0.00038956,15
13/11/07,79.86,-0.109371341,-0.193333333,89.667,9496.5,-0.001003009,15
14/11/07,78.51,-0.124427047,-0.206969697,89.667,8429.8,-0.000127291,15
15/11/07,77.85,-0.231740894,-0.275813953,101.333,7835.7,-0.000385159,15
16/11/07,78.6,-0.224339554,-0.268837209,101.333,7114.2,-0.000381825,15
19/11/07,79.18,-0.218615851,-0.26344186,101.333,8650.4,-0.001263903,15
20/11/07,80.39,-0.206675022,-0.252186047,101.333,11609.9,-0.000124394,15
21/11/07,79.76,-0.212892148,-0.258046512,101.333,6679.4,0.00037594,15
22/11/07,79.76,-0.212892148,-0.258046512,101.333,0,0,15
23/11/07,81.43,-0.19641183,-0.242511628,101.333,2783.5,-0.002708692,15
26/11/07,81.3035,-0.19766019,-0.243688372,101.333,8613,-0.000245821,15
27/11/07,85.59,-0.155359064,-0.203813953,101.333,8635.9,-0.000233727,15
28/11/07,90.3,-0.108878648,-0.16,101.333,11405.9,-0.000443164,15
29/11/07,89.15,-0.120227369,-0.170697674,101.333,6978.8,-0.001010668,15
