,gvkey,cluster,fyear
0,1004,6,1998
1,1036,13,1998
2,1038,13,1998
3,1056,1,1998
4,1072,6,1998
5,1075,6,1998
6,1115,13,1998
7,1161,11,1998
8,1166,16,1998
9,1230,13,1998
10,1240,13,1998
11,1243,6,1998
12,1246,1,1998
13,1279,6,1998
14,1281,12,1998
15,1359,15,1998
16,1372,13,1998
17,1410,6,1998
18,1440,13,1998
19,1468,6,1998
20,1500,0,1998
21,1562,18,1998
22,1573,13,1998
23,1587,15,1998
24,1593,13,1998
25,1594,13,1998
26,1598,13,1998
27,1608,6,1998
28,1632,18,1998
29,1633,18,1998
30,1651,0,1998
31,1655,6,1998
32,1677,12,1998
33,1678,11,1998
34,1704,18,1998
35,1773,13,1998
36,1786,13,1998
37,1848,11,1998
38,1849,10,1998
39,1860,15,1998
40,1878,9,1998
41,1914,17,1998
42,1988,13,1998
43,1989,10,1998
44,2033,5,1998
45,2034,6,1998
46,2054,11,1998
47,2061,6,1998
48,2088,13,1998
49,2101,13,1998
50,2146,10,1998
51,2150,0,1998
52,2154,6,1998
53,2184,17,1998
54,2193,1,1998
55,2220,6,1998
56,2255,3,1998
57,2282,6,1998
58,2312,14,1998
59,2393,6,1998
60,2403,14,1998
61,2439,3,1998
62,2444,6,1998
63,2489,6,1998
64,2538,13,1998
65,2562,16,1998
66,2577,0,1998
67,2593,17,1998
68,2596,1,1998
69,2602,1,1998
70,2803,6,1998
71,2807,1,1998
72,2818,6,1998
73,2846,2,1998
74,2847,6,1998
75,2872,1,1998
76,2916,7,1998
77,2917,6,1998
78,2938,17,1998
79,2953,17,1998
80,2965,6,1998
81,3007,6,1998
82,3054,6,1998
83,3062,0,1998
84,3063,1,1998
85,3093,6,1998
86,3157,13,1998
87,3158,18,1998
88,3164,17,1998
89,3170,16,1998
90,3185,13,1998
91,3216,0,1998
92,3246,13,1998
93,3255,13,1998
94,3257,3,1998
95,3273,17,1998
96,3282,18,1998
97,3333,17,1998
98,3342,7,1998
99,3362,0,1998
100,3373,15,1998
101,3391,13,1998
102,3393,13,1998
103,3413,6,1998
104,3422,13,1998
105,3439,13,1998
106,3502,6,1998
107,3532,0,1998
108,3580,13,1998
109,3622,12,1998
110,3647,6,1998
111,3650,13,1998
112,3707,0,1998
113,3735,7,1998
114,3736,17,1998
115,3786,18,1998
116,3848,6,1998
117,3863,0,1998
118,3897,13,1998
119,3911,13,1998
120,3917,18,1998
121,3935,17,1998
122,3946,0,1998
123,3964,13,1998
124,3980,4,1998
125,4001,6,1998
126,4058,7,1998
127,4087,0,1998
128,4091,0,1998
129,4115,1,1998
130,4140,9,1998
131,4156,13,1998
132,4160,15,1998
133,4189,6,1998
134,4191,3,1998
135,4201,19,1998
136,4241,6,1998
137,4274,9,1998
138,4321,0,1998
139,4351,13,1998
140,4371,13,1998
141,4383,13,1998
142,4460,13,1998
143,4467,5,1998
144,4479,6,1998
145,4494,13,1998
146,4510,6,1998
147,4553,13,1998
148,4560,17,1998
149,4645,0,1998
150,4768,6,1998
151,4807,13,1998
152,4819,17,1998
153,4843,9,1998
154,4918,6,1998
155,4936,13,1998
156,4961,16,1998
157,5032,1,1998
158,5038,1,1998
159,5063,18,1998
160,5074,6,1998
161,5109,1,1998
162,5116,15,1998
163,5122,18,1998
164,5125,1,1998
165,5169,14,1998
166,5181,6,1998
