SDCDEALNUMBER,CEO_TARGET,Date Announced,Date Effective,CIK_ACQUIRER,cik,surname,year_ann
540201020,james r. henderson,1/3/96,0/1/00,724571,85149,henderson,1996
551595020,douglas h. stickney,1/5/96,28/6/96,74386,873393,stickney,1996
551798020,jim h. houtz,10/5/96,21/8/96,310377,354888,houtz,1996
559039020,richard c. close,11/6/96,3/9/96,225868,23023,close,1996
560224020,bevil j. hogg,17/6/96,27/11/96,709136,33837,hogg,1996
562816020,robert p. peebler,1/7/96,4/10/96,45012,749510,peebler,1996
583485020,charles r. perrin,12/9/96,31/12/96,41499,873482,perrin,1996
590284020,jack p. tate,2/10/96,3/2/97,1005414,927806,tate,1996
591387020,william r. fenoglio,7/10/96,11/12/96,97854,8462,fenoglio,1996
630611020,menahem nassi,27/1/97,24/7/97,883420,1000369,nassi,1997
644914020,carl w. knobloch,27/2/97,13/6/97,913267,100712,knobloch,1997
646685020,william t. spane,3/3/97,30/5/97,798354,885273,spane,1997
648052020,eugene p. conese,10/3/97,2/9/97,824590,891461,conese,1997
649252020,glen e. tullman,14/3/97,26/6/97,310377,1000188,tullman,1997
649497040,l. dennis kozlowski,17/3/97,2/7/97,100441,833444,kozlowski,1997
649726020,michael r. gilbert,7/7/97,6/11/97,869369,353153,gilbert,1997
668044020,samuel l. poole,4/6/97,28/7/97,712515,943583,poole,1997
669271020,jack r. harter,11/6/97,31/10/97,58696,920760,harter,1997
671092020,john l. taylor,18/6/97,6/3/98,920042,946826,taylor,1997
672478020,mark andrews,24/6/97,14/10/97,912264,715428,andrews,1997
678828020,floyd c. wilson,13/11/97,11/3/98,895126,914144,wilson,1997
682606020,robert a. faith,25/7/97,1/12/97,80293,1021421,faith,1997
1756906020,peter h. van oppen,2/5/06,22/8/06,709283,770403,oppen,2006
1764281020,ralph e. faison,31/5/06,0/1/00,61478,317093,faison,2006
1767710020,irvin toole,12/6/06,15/11/06,1070423,1168397,toole,2006
1768800020,donald speer,15/6/06,21/12/06,353944,318291,speer,2006
1773127020,arthur w. coviello,29/6/06,18/9/06,790070,932064,coviello,2006
1774498020,albert w. van ness,5/7/06,18/8/06,1002902,1000779,ness,2006
1774816020,s. scott harding,5/7/06,2/3/07,883293,801622,harding,2006
1775218020,david wayne stevens,8/7/06,2/7/07,67716,18072,stevens,2006
1775403020,thomas m. patrick,6/7/06,21/2/07,916863,77385,patrick,2006
1783172020,john a. kelley,7/8/06,29/1/07,1009626,731502,kelley,2006
1783292020,william a. mcdonnell,7/8/06,15/11/06,729217,893046,mcdonnell,2006
1783783020,lee d. roberts,9/8/06,12/10/06,51143,706015,roberts,2006
1791422020,ren j. robichaud,10/9/06,1/12/06,879933,745026,robichaud,2006
1796080020,william l. jenkins,22/9/06,12/12/06,886835,839871,jenkins,2006
1798841020,barry p. korn,2/10/06,4/12/06,890801,1164552,korn,2006
1801447020,jack l. waterman,12/10/06,20/2/07,1056386,789851,waterman,2006
1802016020,william m. lasky,15/10/06,8/12/06,775158,216275,lasky,2006
1802380020,paul n. clark,16/10/06,29/1/07,59478,874294,clark,2006
1802384020,allen j. berning,17/10/06,8/1/07,863436,924829,berning,2006
1802401020,david r. huber,17/10/06,3/1/07,794323,1060490,huber,2006
1804521020,t. curtis holmes,23/10/06,31/12/06,1341439,916704,holmes,2006
1809203020,gary johnson,6/11/06,5/1/07,1045810,1297633,johnson,2006
1810232020,leonard e. moodispaw,8/11/06,25/1/07,1133421,355199,moodispaw,2006
1810645020,danong chen,9/11/06,2/8/07,318771,1099414,chen,2006
