SDCDEALNUMBER,CEO_TARGET,Date Announced,Date Effective,CIK_ACQUIRER,cik,surname,year_ann
540201020,james r. henderson,1/3/96,0/1/00,724571,85149,henderson,1996
551595020,douglas h. stickney,1/5/96,28/6/96,74386,873393,stickney,1996
551798020,jim h. houtz,10/5/96,21/8/96,310377,354888,houtz,1996
559039020,richard c. close,11/6/96,3/9/96,225868,23023,close,1996
560224020,bevil j. hogg,17/6/96,27/11/96,709136,33837,hogg,1996
562816020,robert p. peebler,1/7/96,4/10/96,45012,749510,peebler,1996
583485020,charles r. perrin,12/9/96,31/12/96,41499,873482,perrin,1996
590284020,jack p. tate,2/10/96,3/2/97,1005414,927806,tate,1996
591387020,william r. fenoglio,7/10/96,11/12/96,97854,8462,fenoglio,1996
630611020,menahem nassi,27/1/97,24/7/97,883420,1000369,nassi,1997
644914020,carl w. knobloch,27/2/97,13/6/97,913267,100712,knobloch,1997
646685020,william t. spane,3/3/97,30/5/97,798354,885273,spane,1997
648052020,eugene p. conese,10/3/97,2/9/97,824590,891461,conese,1997
649252020,glen e. tullman,14/3/97,26/6/97,310377,1000188,tullman,1997
649497040,l. dennis kozlowski,17/3/97,2/7/97,100441,833444,kozlowski,1997
649726020,michael r. gilbert,7/7/97,6/11/97,869369,353153,gilbert,1997
668044020,samuel l. poole,4/6/97,28/7/97,712515,943583,poole,1997
669271020,jack r. harter,11/6/97,31/10/97,58696,920760,harter,1997
671092020,john l. taylor,18/6/97,6/3/98,920042,946826,taylor,1997
672478020,mark andrews,24/6/97,14/10/97,912264,715428,andrews,1997
678828020,floyd c. wilson,13/11/97,11/3/98,895126,914144,wilson,1997
682606020,robert a. faith,25/7/97,1/12/97,80293,1021421,faith,1997
683058020,gerald d. rogers,28/7/97,17/11/97,70530,867105,rogers,1997
683218020,james r. moffett,28/7/97,22/12/97,820626,831259,moffett,1997
684909020,a. lad burgin,4/8/97,19/11/97,200406,1002243,burgin,1997
688670020,r. graham whaling,18/8/97,4/11/97,97349,1022664,whaling,1997
690481020,donald r. roden,25/8/97,0/1/00,721371,11454,roden,1997
692760020,van hubbard,4/9/97,18/12/97,55785,876968,hubbard,1997
693567020,roy e. jewell,5/9/97,16/1/98,943892,1018728,jewell,1997
693585020,lawrence p. klamon,8/9/97,31/12/97,709136,88190,klamon,1997
694322020,walter j. kearns,10/9/97,28/11/97,878130,26994,kearns,1997
695717020,arnold h. simon,17/9/97,12/12/97,104628,1010472,simon,1997
699371020,phillip berman,29/9/97,26/11/97,1001289,1019947,berman,1997
700966020,gregory j. petras,3/10/97,29/12/97,310377,804368,petras,1997
703081020,william j. herman,15/10/97,4/12/97,883241,880594,herman,1997
703861020,ronald g. canada,17/10/97,29/12/97,32604,947483,canada,1997
705211020,m. r. thomann,23/10/97,8/1/99,42582,81764,thomann,1997
708822020,patrick c. sommers,7/11/97,28/5/98,1018833,1006361,sommers,1997
713546020,robert a. steinkrauss,1/12/97,19/2/98,1007997,945429,steinkrauss,1997
717402020,thomas g. hixon,15/12/97,27/3/98,920527,889885,hixon,1997
722948020,daniel j. miglio,5/1/98,26/10/98,732717,790650,miglio,1998
723802020,john l. slack,6/1/98,2/3/98,32258,27442,slack,1998
726229020,charles digiovanna,14/1/98,1/6/98,931336,103392,digiovanna,1998
729668020,richard dupont,2/2/98,20/4/98,930420,1014982,dupont,1998
730570020,wesley t. o brien,4/2/98,9/6/98,1404440,1003958,brien,1998
730595020,j. roger faherty,4/2/98,15/3/99,79114,839431,faherty,1998
731992020,douglas a. pertz,9/2/98,15/6/98,318025,945382,pertz,1998
