CEO_TARGET,Date Announced,cik,surname,year_ann
faraj aalaei,9/7/08,1107194,aalaei,2008
sami s. abbasi,7/7/06,1031329,abbasi,2006
steven r. abbott,22/10/98,846919,abbott,1998
barry a. ackerley,8/10/01,319120,ackerley,2001
adrian adams,26/6/14,1182129,adams,2014
mark b. adams,30/8/10,863650,adams,2010
anne-marie ainsworth,1/10/14,1516007,ainsworth,2014
elie s. akilian,29/6/04,1065351,akilian,2004
a. william allen,10/6/98,878901,allen,1998
gil allon,6/6/11,885317,allon,2011
jos e. almeida,15/6/14,1385187,almeida,2014
june s. almenoff,28/4/14,1484478,almenoff,2014
liore alroy,28/6/05,1086472,alroy,2005
alfred j. amoroso,30/10/01,1037834,amoroso,2001
alfred j. amoroso,27/12/04,1000015,amoroso,2004
carl g. anderson,23/7/07,886046,anderson,2007
gerhard r. andlinger,14/2/00,711425,andlinger,2000
mark andrews,24/6/97,715428,andrews,1997
albert angrisani,6/8/01,803058,angrisani,2001
eugene applebaum,9/2/98,791048,applebaum,1998
david a. arledge,18/1/00,21267,arledge,2000
greg l. armstrong,22/10/13,1481506,armstrong,2013
edward h. arnold,21/8/01,700612,arnold,2001
christopher assif,6/9/01,720481,assif,2001
michael j. astrue,21/4/05,885259,astrue,2005
auria,21/12/06,878436,auria,2006
jonathan p. aust,11/4/00,1081665,aust,2000
linda m. autore,24/2/04,74691,autore,2004
timothy p. bacci,14/3/06,880562,bacci,2006
anthony badolato,13/7/98,883982,badolato,1998
don m. bailey,7/4/14,891288,bailey,2014
ken s. bajaj,20/6/00,1066197,bajaj,2000
charles a. baker,5/10/98,786557,baker,1998
g.f. baker,26/3/98,106827,baker,1998
john daniel baker,19/2/07,37651,baker,2007
endre a. balazs,6/3/00,747952,balazs,2000
dale h. ballard,23/12/98,723534,ballard,1998
eugene g. banucci,4/2/14,912841,banucci,2014
paul m. barbas,20/4/11,787250,barbas,2011
keith l. barnes,16/5/01,945441,barnes,2001
wallace r. barr,15/7/04,1070794,barr,2004
richard n. barton,16/7/01,1095357,barton,2001
robert becker,25/10/01,1039446,becker,2001
ashok belani,23/2/04,1261686,belani,2004
david a. bell,19/3/01,37931,bell,2001
gerald l. benowitz,22/8/00,1022397,benowitz,2000
w. robert berg,16/3/99,937289,berg,1999
lyle berman,29/6/98,878321,berman,1998
phillip berman,29/9/97,1019947,berman,1997
phillip berman,9/11/00,1001289,berman,2000
allen j. berning,17/10/06,924829,berning,2006
paul l. berns,4/5/05,1009405,berns,2005
paul l. berns,20/7/11,1097264,berns,2011
edward h. bersoff,20/9/01,932279,bersoff,2001
peter beshouri,4/6/01,793971,beshouri,2001
klaus p. besier,23/7/07,894743,besier,2007
rhys j. best,29/3/07,791348,best,2007
david r. bethune,14/6/04,809875,bethune,2004
charles g. betty,11/2/98,1015580,betty,1998
richard m. beyer,8/3/02,949872,beyer,2002
d. w. biegler,29/5/02,764625,biegler,2002
terrance j. bieker,26/7/05,860451,bieker,2005
william e. bindley,4/12/00,722808,bindley,2000
reynolds c. bish,20/10/05,909276,bish,2005
gary w. blackie,30/4/08,1304069,blackie,2008
john a. blaeser,7/4/05,915290,blaeser,2005
norman p. blake,7/9/99,944647,blake,1999
lynn r. blodgett,28/9/09,2135,blodgett,2009
ronald e. bloom,24/6/99,1014462,bloom,1999
g. lynn boggs,17/8/09,1069469,boggs,2009
g. lynn boggs,13/3/01,1061762,boggs,2001
lawrence s. bohn,29/10/01,1004874,bohn,2001
r. brooks borcherding,1/2/11,1084750,borcherding,2011
michael f. bosworth,20/9/98,881411,bosworth,1998
michael l. bowlin,4/10/00,1020898,bowlin,2000
stanley g. brannan,27/4/99,852637,brannan,1999
richard j. braun,4/6/12,739944,braun,2012
steven j. braun,20/9/04,1086757,braun,2004
craig d. brennan,23/7/03,1056294,brennan,2003
