File_Num,Company Name,CIK,SIC,Disclosure Date,Sections,Number of Words,POSITIVE,NEGATIVE,ACQUISITION,Litigation,TONE
1,AUGAT INC,0000008462,3679,19951231,1,2063,17,39,2,0,-0.010664081434803683
2,EVERSOURCE ENERGY,0000072741,4911,20181231,1,25242,204,204,16,1,0.0
3,CASCADE NATURAL GAS CORP,0000018072,4924,20060930,1,5577,51,49,7,1,0.00035861574323112785
5,EVEREST & JENNINGS INTERNATIONAL LTD,0000033837,3842,19951231,1,3155,33,84,1,0,-0.016164817749603804
6,FAMILY DOLLAR STORES INC,0000034408,5331,20140830,1,8398,51,137,21,7,-0.010240533460347702
7,FLORIDA ROCK INDUSTRIES INC,0000037651,3270,20070930,1,6638,49,103,7,6,-0.008134980415787888
8,HERCULES INC,0000046989,2890,20071231,1,15029,172,235,14,21,-0.004191895668374476
9,JOURNAL COMMUNICATIONS INC,0000054056,2711,20021231,1,9182,33,151,2,3,-0.01285123066869963
10,KEITHLEY INSTRUMENTS INC,0000054991,3825,20100930,1,7083,92,90,7,1,0.00028236622899901174
11,LABARGE INC,0000057139,3812,20100627,1,8858,48,83,31,2,-0.003951230526078121
12,MET PRO CORP,0000065201,3564,20130131,1,5799,33,48,1,1,-0.002586652871184687
14,PEOPLES GAS LIGHT & COKE CO,0000077388,4922,20060930,1,14635,78,202,34,1,-0.008472839084386743
16,SPARTECH CORP,0000077597,3080,20121103,1,8566,58,175,29,5,-0.01365865047863647
19,WEBFINANCIAL CORP,0000085149,5331,20021231,1,2958,12,48,3,1,-0.012170385395537525
20,"HARRIS TEETER SUPERMARKETS, INC.",0000085704,5411,20131001,1,8807,56,122,33,1,-0.007494038832746679
21,SPECTRUM CONTROL INC,0000092769,3679,20101130,1,7814,56,63,17,8,-0.0008958280010238034
22,SMURFIT-STONE CONTAINER Corp,0000094610,2631,20101231,1,11902,106,302,7,5,-0.01646782053436397
23,PATHMARK STORES INC,0000095585,5411,20070203,1,6580,49,99,2,0,-0.007598784194528876
24,SYS,0000096057,7372,20070928,1,6824,33,74,11,2,-0.00600820633059789
25,THOMAS & BETTS CORP,0000097854,3640,20111231,1,7307,84,85,16,4,-0.0001368550704803613
27,URS CORP /NEW/,0000102379,8711,20140103,1,18972,100,282,59,7,-0.009593084545646216
28,ARBITRON INC,0000109758,8700,20121231,5,6018,14,50,18,5,-0.005982053838484547
30,JLG INDUSTRIES INC,0000216275,3531,20060731,1,10033,111,87,3,8,0.002392106050034885
33,ANDREW CORP,0000317093,3357,20070930,1,10773,99,182,30,6,-0.007704446300937529
34,CAIRN ENERGY USA INC,0000353153,1311,19961231,1,2835,8,26,2,1,-0.006349206349206349
35,HAWAIIAN ELECTRIC INDUSTRIES INC,0000354707,4911,20181231,1,22512,170,263,11,0,-0.004131130063965885
37,ESSEX CORP,0000355199,8711,20051231,1,7378,65,55,39,1,0.0013553808620222283
38,FILENET CORP,0000706015,7373,20051231,1,9368,60,87,4,2,-0.0028821520068317676
40,AMERICAN EXPLORATION CO,0000715428,1311,19961231,1,4070,47,74,15,1,-0.006633906633906634
42,SCHAWK INC,0000719164,2790,20131231,1,14799,86,321,36,2,-0.015879451314277992
43,SMITH INTERNATIONAL INC,0000721083,3533,20091231,1,7253,41,92,17,1,-0.0070315731421480765
44,CAPITAL GOLD CORP,0000726845,1040,20100731,1,10855,41,83,16,3,-0.0038691847075080607
45,MCDATA CORP,0000731502,3669,20060131,1,10767,40,137,41,2,-0.009009009009009009
46,PENFORD CORP,0000739608,2040,20140831,2,7316,71,109,10,0,-0.00519409513395298
47,MEDTOX SCIENTIFIC INC,0000739944,8071,20111231,1,5924,43,81,1,0,-0.006414584740040513
48,NS GROUP INC,0000745026,3312,20051231,1,7553,61,119,0,1,-0.007679067920031775
49,CADMUS COMMUNICATIONS CORP/NEW,0000745274,2750,20060630,1,9029,98,184,6,0,-0.009524864326060471
50,NGAS Resources Inc,0000746834,1311,20101231,2,5764,16,105,6,3,-0.015440666204024983
51,LANDMARK GRAPHICS CORP,0000749510,7373,19960630,1,3805,16,24,38,1,-0.002102496714848883
52,HICKORY TECH CORP,0000766561,4813,20131231,1,9021,73,105,6,0,-0.003547278572220375
55,SYNOVIS LIFE TECHNOLOGIES  INC,0000780127,3842,20111031,1,4969,40,56,14,0,-0.0032199637754075265
56,DPL INC,0000787250,4931,20181231,5,12047,61,138,2,10,-0.006391632771644393
56,DPL INC,0000787250,4931,20181231,5,12029,61,138,2,10,-0.006401197106991437
56,DPL INC,0000787250,4931,20181231,5,11631,61,118,2,10,-0.004900696414753675
57,VITALSTREAM HOLDINGS INC,0000789851,7389,20051231,1,6359,52,52,4,5,0.0
59,REHABCARE GROUP INC,0000812191,8060,20101231,1,7458,49,126,26,4,-0.01032448377581121
60,ATS MEDICAL INC,0000824068,3842,20091231,1,8664,66,119,30,2,-0.006117266851338873
61,PSYCHIATRIC SOLUTIONS INC,0000829608,8093,20091231,1,6082,18,71,14,0,-0.008714238737257482
62,PRIDE INTERNATIONAL INC,0000833081,1381,20101231,1,18432,120,340,19,4,-0.011935763888888888
63,Johnson Controls International plc,0000833444,7380,20180930,1,14671,145,321,22,9,-0.011996455592665803
64,"Boots & Coots, Inc.",0000833845,3533,20091231,1,9052,31,79,16,0,-0.005302695536897923
66,Warrior Energy Services CORP,0000839871,1389,20051231,3,11893,34,199,18,0,-0.013873707222736063
67,ALLIED WASTE INDUSTRIES INC,0000848865,4953,20071231,1,15343,104,323,8,6,-0.014273610115362054
68,MEDICIS PHARMACEUTICAL CORP,0000859368,2834,20111231,1,19890,150,248,11,9,-0.004927099044746103
69,BJ SERVICES CO,0000864328,1389,20090930,1,10591,75,170,30,3,-0.008969880086866206
70,ROCHESTER MEDICAL CORPORATION,0000868368,3841,20120930,1,7968,63,96,12,2,-0.004141566265060241
72,ICOS CORP,0000874294,2834,20051231,1,7844,85,135,3,5,-0.006374298827129016
73,OSTEOTECH INC,0000874734,3841,20091231,1,6887,57,140,0,3,-0.012051691592856106
74,TUT SYSTEMS INC,0000878436,3661,20051231,1,7318,41,92,15,0,-0.0069691172451489475
75,STEWART ENTERPRISES INC,0000878522,7200,20121031,1,14022,120,189,8,0,-0.004920838682071031
77,ARROW INTERNATIONAL INC,0000886046,3841,20060831,1,12699,134,145,19,2,-0.0008662099377903772
78,GREENWICH AIR SERVICES INC,0000891461,7600,19960930,1,3266,19,12,19,0,0.0021432945499081446
79,RENT WAY INC,0000893046,7359,20050930,1,8629,57,124,2,2,-0.007764515007532739
80,NEOWARE INC,0000894743,3571,20070630,1,6905,32,66,41,2,-0.004923968139029689
81,ADVANCED TECHNOLOGY MATERIALS INC /DE/,0000912841,3569,19961231,1,1834,21,16,4,0,0.0027262813522355507
83,METASOLV INC,0000916704,7371,20051231,1,6904,47,91,5,3,-0.006373117033603708
